39, Adm-clerical,40, Male, Bachelors, State-gov, <=50K
30, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
52, Sales,48, Male, Assoc-acdm, Private, >50K
41, Exec-managerial,40, Male, Bachelors, Private, >50K
33, Farming-fishing,40, Male, 5th-6th, Private, <=50K
50, Exec-managerial,45, Male, Bachelors, Private, >50K
51, Tech-support,40, Male, Assoc-voc, Private, >50K
41, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
35, Sales,30, Female, Bachelors, Private, >50K
34, Exec-managerial,40, Male, Some-college, Private, >50K
28, Prof-specialty,45, Male, Bachelors, Private, <=50K
31, Sales,40, Male, Assoc-voc, Self-emp-inc, <=50K
22, Handlers-cleaners,40, Male, HS-grad, Private, <=50K
67, ?,15, Female, HS-grad, ?, <=50K
65, Sales,40, Male, HS-grad, Private, >50K
39, Sales,50, Male, HS-grad, Self-emp-not-inc, >50K
23, Tech-support,40, Male, Some-college, Private, <=50K
29, Sales,50, Male, Assoc-acdm, Self-emp-not-inc, <=50K
57, Exec-managerial,60, Male, 10th, Self-emp-not-inc, >50K
47, Other-service,35, Female, Some-college, Private, <=50K
51, Transport-moving,60, Male, HS-grad, Local-gov, <=50K
34, Handlers-cleaners,40, Male, HS-grad, Private, <=50K
52, Exec-managerial,60, Male, HS-grad, Private, >50K
29, Prof-specialty,40, Male, HS-grad, Private, >50K
29, Craft-repair,40, Male, HS-grad, Private, <=50K
25, Farming-fishing,40, Male, Some-college, Local-gov, <=50K
21, Other-service,40, Female, Some-college, Private, <=50K
38, Prof-specialty,40, Female, Bachelors, Private, <=50K
55, Sales,50, Male, HS-grad, Self-emp-not-inc, >50K
61, Sales,30, Female, Bachelors, Self-emp-inc, <=50K
34, Adm-clerical,60, Female, Assoc-acdm, Private, >50K
41, Adm-clerical,40, Male, Bachelors, Private, <=50K
27, Adm-clerical,43, Male, Assoc-voc, Local-gov, <=50K
78, Exec-managerial,20, Male, Bachelors, Self-emp-not-inc, >50K
40, Transport-moving,40, Male, HS-grad, Private, >50K
26, Transport-moving,75, Male, 7th-8th, Self-emp-not-inc, <=50K
43, Other-service,60, Male, HS-grad, Private, <=50K
55, ?,20, Female, HS-grad, ?, <=50K
25, Tech-support,40, Male, Assoc-voc, Private, <=50K
26, Other-service,48, Female, Some-college, Self-emp-not-inc, <=50K
43, Sales,68, Male, HS-grad, Self-emp-inc, >50K
25, Other-service,40, Male, Some-college, Private, <=50K
22, Adm-clerical,30, Female, Some-college, Private, <=50K
52, Craft-repair,55, Male, HS-grad, Self-emp-not-inc, >50K
61, Adm-clerical,5, Female, HS-grad, Private, <=50K
42, Sales,40, Male, Bachelors, Private, <=50K
21, Adm-clerical,40, Female, Assoc-voc, Private, <=50K
44, Transport-moving,40, Male, HS-grad, Private, <=50K
65, Craft-repair,40, Male, HS-grad, Private, <=50K
56, ?,10, Male, HS-grad, ?, <=50K
33, Other-service,40, Male, Assoc-acdm, Federal-gov, <=50K
22, Adm-clerical,40, Female, 10th, Private, <=50K
43, Machine-op-inspct,24, Female, HS-grad, Private, <=50K
45, Exec-managerial,42, Male, HS-grad, Self-emp-inc, <=50K
42, Sales,42, Female, HS-grad, Private, <=50K
37, Farming-fishing,40, Male, HS-grad, Private, <=50K
56, Craft-repair,40, Male, 9th, Private, <=50K
35, ?,16, Female, 10th, ?, <=50K
40, Adm-clerical,32, Female, Assoc-acdm, Private, <=50K
31, Sales,55, Male, Bachelors, Private, <=50K
26, Prof-specialty,40, Male, Bachelors, Private, <=50K
26, Prof-specialty,40, Male, Bachelors, State-gov, <=50K
42, Exec-managerial,70, Male, Bachelors, Self-emp-inc, <=50K
45, Exec-managerial,40, Male, HS-grad, Self-emp-not-inc, <=50K
47, Prof-specialty,50, Male, Some-college, Local-gov, >50K
22, Machine-op-inspct,40, Male, Some-college, Private, <=50K
33, Exec-managerial,40, Male, Bachelors, Private, <=50K
37, Transport-moving,50, Male, HS-grad, Private, <=50K
48, Farming-fishing,98, Male, HS-grad, Self-emp-not-inc, <=50K
57, Craft-repair,8, Male, 10th, Self-emp-not-inc, <=50K
47, Adm-clerical,60, Female, Some-college, Private, <=50K
58, Transport-moving,40, Male, 9th, Local-gov, <=50K
55, Adm-clerical,40, Female, 11th, Private, <=50K
52, Craft-repair,55, Male, Some-college, Private, <=50K
29, Prof-specialty,40, Male, Bachelors, Private, <=50K
42, Prof-specialty,40, Female, Masters, Private, <=50K
23, Craft-repair,60, Male, HS-grad, Private, <=50K
23, Other-service,30, Female, 12th, Private, <=50K
46, Exec-managerial,60, Male, Assoc-voc, Self-emp-not-inc, <=50K
30, Machine-op-inspct,40, Male, Some-college, Private, <=50K
43, Prof-specialty,70, Female, Bachelors, Self-emp-not-inc, >50K
25, Adm-clerical,30, Female, Some-college, Private, <=50K
32, Transport-moving,80, Male, HS-grad, Private, >50K
56, Transport-moving,40, Male, 9th, Private, <=50K
33, Transport-moving,43, Male, HS-grad, Private, <=50K
19, Adm-clerical,10, Male, Some-college, State-gov, <=50K
20, Sales,18, Female, Some-college, Private, <=50K
34, Adm-clerical,40, Male, Some-college, Private, <=50K
34, Other-service,40, Female, 9th, Private, <=50K
55, Craft-repair,40, Male, HS-grad, Self-emp-not-inc, <=50K
55, Tech-support,23, Female, 9th, Private, <=50K
31, Sales,45, Male, Some-college, Private, <=50K
30, Other-service,40, Female, HS-grad, Private, <=50K
31, Other-service,40, Male, HS-grad, Private, <=50K
51, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
59, Craft-repair,40, Male, HS-grad, Private, <=50K
58, Adm-clerical,36, Female, HS-grad, Private, <=50K
40, Handlers-cleaners,40, Male, 9th, Private, <=50K
54, Craft-repair,40, Male, HS-grad, Private, <=50K
25, Prof-specialty,40, Male, Bachelors, Local-gov, >50K
18, Farming-fishing,30, Male, 11th, Self-emp-inc, <=50K
41, Craft-repair,40, Male, Some-college, Private, <=50K
57, Other-service,40, Female, 10th, Private, <=50K
37, Exec-managerial,40, Male, HS-grad, Private, >50K
46, Other-service,24, Female, HS-grad, Private, <=50K
39, Other-service,38, Female, HS-grad, Private, <=50K
19, Craft-repair,40, Female, HS-grad, Private, <=50K
41, Machine-op-inspct,40, Male, Assoc-acdm, Private, <=50K
54, Adm-clerical,41, Male, HS-grad, Private, <=50K
39, Exec-managerial,40, Male, Masters, Private, >50K
41, Craft-repair,40, Male, HS-grad, Private, >50K
26, Prof-specialty,30, Female, Prof-school, Private, <=50K
57, Adm-clerical,50, Male, HS-grad, Self-emp-inc, <=50K
33, Protective-serv,40, Male, Some-college, Local-gov, >50K
56, Exec-managerial,40, Male, Some-college, Private, >50K
60, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
22, Transport-moving,70, Male, HS-grad, Private, <=50K
58, Transport-moving,40, Male, 12th, Private, <=50K
48, Exec-managerial,50, Female, Masters, Federal-gov, >50K
45, Prof-specialty,55, Male, Masters, Local-gov, >50K
18, Sales,40, Female, HS-grad, Private, <=50K
56, Other-service,40, Female, HS-grad, Private, <=50K
48, Craft-repair,60, Male, HS-grad, Self-emp-inc, >50K
40, Tech-support,48, Female, Bachelors, Private, <=50K
38, Other-service,32, Male, HS-grad, Private, <=50K
58, Adm-clerical,40, Female, Some-college, Private, <=50K
23, Exec-managerial,50, Male, Some-college, Private, <=50K
63, Prof-specialty,40, Male, Some-college, Private, <=50K
51, Prof-specialty,45, Male, Bachelors, Private, <=50K
22, ?,40, Female, 5th-6th, ?, <=50K
44, Farming-fishing,70, Male, HS-grad, Private, <=50K
46, Tech-support,40, Male, Some-college, Federal-gov, <=50K
64, Adm-clerical,40, Male, Bachelors, State-gov, <=50K
32, Exec-managerial,40, Male, Bachelors, Private, >50K
31, Adm-clerical,40, Male, Some-college, Private, <=50K
36, Sales,50, Male, Assoc-voc, Private, >50K
21, Other-service,50, Female, HS-grad, Private, <=50K
30, Craft-repair,40, Male, Some-college, Private, <=50K
31, Other-service,40, Female, Assoc-voc, Private, <=50K
54, Transport-moving,50, Male, HS-grad, Private, <=50K
59, Other-service,40, Male, 9th, Local-gov, <=50K
28, Prof-specialty,20, Female, Masters, Local-gov, >50K
57, Adm-clerical,40, Female, HS-grad, Private, <=50K
44, Craft-repair,45, Male, HS-grad, Private, <=50K
53, Exec-managerial,60, Male, Some-college, Self-emp-inc, <=50K
58, Exec-managerial,60, Male, Some-college, Self-emp-not-inc, >50K
19, Other-service,20, Female, Some-college, Private, <=50K
39, Exec-managerial,50, Male, Assoc-acdm, Self-emp-inc, >50K
31, Exec-managerial,70, Female, Some-college, Self-emp-inc, <=50K
27, Craft-repair,40, Male, HS-grad, Private, <=50K
46, Other-service,40, Female, 9th, Local-gov, <=50K
37, Exec-managerial,40, Male, Masters, Self-emp-not-inc, <=50K
27, Sales,40, Female, Bachelors, Private, <=50K
33, Transport-moving,55, Male, Some-college, Private, <=50K
20, Other-service,16, Male, Some-college, Private, <=50K
55, Craft-repair,45, Male, HS-grad, Private, <=50K
39, Sales,40, Female, Assoc-acdm, Private, <=50K
41, Other-service,40, Female, HS-grad, Private, <=50K
30, Prof-specialty,40, Female, Bachelors, Private, <=50K
39, Sales,40, Male, Bachelors, Self-emp-inc, <=50K
28, Exec-managerial,50, Female, HS-grad, Private, <=50K
25, Sales,24, Male, Some-college, Private, <=50K
31, Craft-repair,50, Male, HS-grad, Private, <=50K
51, Transport-moving,60, Male, HS-grad, Private, <=50K
24, Adm-clerical,40, Male, Bachelors, Private, <=50K
70, Protective-serv,32, Female, HS-grad, Private, <=50K
23, Adm-clerical,40, Male, Some-college, Private, <=50K
61, Exec-managerial,40, Female, HS-grad, Private, <=50K
45, Exec-managerial,55, Male, 7th-8th, Self-emp-not-inc, >50K
47, Handlers-cleaners,60, Male, HS-grad, Private, <=50K
56, Other-service,50, Female, Some-college, Private, <=50K
79, Prof-specialty,35, Male, Doctorate, Private, >50K
20, Adm-clerical,15, Female, Some-college, Private, <=50K
30, Craft-repair,40, Male, HS-grad, Private, <=50K
27, Sales,25, Male, Bachelors, Private, <=50K
40, Sales,40, Male, Bachelors, Private, >50K
60, ?,5, Male, HS-grad, ?, <=50K
58, Craft-repair,40, Male, HS-grad, Private, >50K
71, Farming-fishing,2, Male, Prof-school, Self-emp-not-inc, <=50K
50, Prof-specialty,60, Male, Prof-school, Private, >50K
29, Exec-managerial,40, Male, Some-college, Local-gov, <=50K
33, Other-service,35, Female, 10th, Private, <=50K
60, Protective-serv,40, Male, HS-grad, State-gov, >50K
33, Adm-clerical,50, Male, Assoc-acdm, Private, <=50K
43, Other-service,35, Female, Bachelors, Private, >50K
33, Handlers-cleaners,40, Male, 10th, Private, <=50K
33, Adm-clerical,52, Female, HS-grad, Private, <=50K
32, Protective-serv,45, Male, HS-grad, State-gov, <=50K
21, Other-service,9, Female, Some-college, Private, <=50K
38, Prof-specialty,40, Female, HS-grad, Private, <=50K
38, Adm-clerical,35, Female, Some-college, Private, >50K
39, Exec-managerial,30, Female, Some-college, State-gov, <=50K
17, Sales,15, Female, 11th, Private, <=50K
21, Adm-clerical,40, Male, Some-college, Private, <=50K
42, Tech-support,20, Male, Some-college, Private, >50K
42, Exec-managerial,40, Female, HS-grad, Private, >50K
36, Other-service,40, Female, 11th, Private, <=50K
32, Exec-managerial,50, Female, Some-college, Private, >50K
37, Prof-specialty,40, Male, Bachelors, Self-emp-not-inc, >50K
28, Sales,40, Male, Bachelors, Private, <=50K
37, Craft-repair,40, Male, Assoc-voc, Private, <=50K
50, Prof-specialty,60, Female, HS-grad, Private, <=50K
49, Craft-repair,40, Male, 11th, Private, <=50K
40, Exec-managerial,40, Male, Masters, Private, >50K
40, Other-service,40, Male, Some-college, Private, <=50K
49, Craft-repair,40, Male, Some-college, Private, <=50K
35, Exec-managerial,40, Male, Masters, Federal-gov, >50K
33, Protective-serv,40, Male, HS-grad, Local-gov, <=50K
24, Craft-repair,40, Male, HS-grad, Private, <=50K
41, Adm-clerical,40, Female, Masters, Private, <=50K
43, Tech-support,40, Male, Some-college, Private, >50K
36, Farming-fishing,60, Male, HS-grad, Self-emp-not-inc, >50K
84, Farming-fishing,20, Male, Bachelors, Self-emp-not-inc, <=50K
23, Sales,40, Male, HS-grad, Private, <=50K
41, Prof-specialty,50, Male, Bachelors, Private, >50K
55, Exec-managerial,45, Male, HS-grad, Self-emp-inc, >50K
30, Craft-repair,45, Male, Some-college, Self-emp-not-inc, <=50K
46, Adm-clerical,40, Male, Assoc-acdm, Private, <=50K
55, Exec-managerial,40, Male, Some-college, Private, >50K
34, Adm-clerical,40, Male, Some-college, Private, <=50K
54, Sales,60, Male, Masters, Self-emp-not-inc, <=50K
27, Adm-clerical,40, Male, Some-college, Private, <=50K
52, Prof-specialty,40, Female, Masters, Local-gov, >50K
36, Adm-clerical,40, Female, Some-college, Private, >50K
25, Prof-specialty,40, Male, HS-grad, Self-emp-not-inc, <=50K
52, Exec-managerial,55, Male, Bachelors, Private, >50K
24, Exec-managerial,50, Female, HS-grad, Private, <=50K
36, Adm-clerical,40, Female, HS-grad, Private, <=50K
31, Handlers-cleaners,40, Male, HS-grad, Private, <=50K
66, ?,20, Male, Some-college, ?, <=50K
90, Prof-specialty,50, Male, Bachelors, Self-emp-not-inc, <=50K
67, Prof-specialty,60, Male, Masters, Private, >50K
22, Craft-repair,40, Male, 7th-8th, Self-emp-inc, <=50K
47, Adm-clerical,35, Female, Some-college, Private, <=50K
32, Exec-managerial,55, Male, Bachelors, Private, >50K
55, Farming-fishing,50, Male, 7th-8th, Self-emp-not-inc, <=50K
32, Handlers-cleaners,35, Female, HS-grad, Private, <=50K
48, Adm-clerical,40, Female, Some-college, Private, <=50K
21, Sales,35, Male, HS-grad, Private, <=50K
33, Prof-specialty,40, Female, Assoc-acdm, Private, <=50K
27, Prof-specialty,48, Female, Some-college, Private, <=50K
47, Prof-specialty,40, Female, Assoc-voc, Private, <=50K
18, Other-service,24, Female, 11th, Private, <=50K
44, Craft-repair,60, Male, HS-grad, Self-emp-inc, >50K
23, Craft-repair,37, Male, Some-college, Private, <=50K
18, Sales,35, Female, 10th, Private, <=50K
56, Exec-managerial,50, Male, HS-grad, Private, <=50K
24, Adm-clerical,35, Male, Bachelors, Private, <=50K
43, Craft-repair,40, Male, Bachelors, Private, >50K
23, Sales,60, Female, Bachelors, Private, <=50K
26, Sales,42, Male, Some-college, Private, <=50K
42, Sales,40, Male, HS-grad, Private, <=50K
23, Adm-clerical,40, Female, HS-grad, Private, <=50K
53, Craft-repair,40, Male, 10th, Self-emp-not-inc, <=50K
51, Exec-managerial,55, Male, HS-grad, Private, >50K
40, Other-service,25, Male, HS-grad, Private, <=50K
27, Prof-specialty,50, Male, Bachelors, Private, <=50K
24, Protective-serv,60, Male, Some-college, Local-gov, <=50K
42, Craft-repair,40, Female, HS-grad, Private, <=50K
41, Adm-clerical,40, Female, HS-grad, Private, <=50K
23, Handlers-cleaners,10, Male, Some-college, Private, <=50K
42, Prof-specialty,65, Male, Masters, Self-emp-not-inc, <=50K
38, Craft-repair,40, Male, HS-grad, Private, >50K
63, Farming-fishing,30, Male, 7th-8th, Self-emp-not-inc, <=50K
31, Craft-repair,40, Male, HS-grad, Private, <=50K
18, Other-service,4, Female, 11th, Self-emp-not-inc, <=50K
21, Other-service,30, Male, Some-college, Private, <=50K
24, Prof-specialty,40, Female, Bachelors, Private, <=50K
55, Craft-repair,40, Male, Some-college, Private, <=50K
20, Adm-clerical,20, Female, 9th, Private, <=50K
31, Sales,30, Female, Some-college, Private, <=50K
23, Adm-clerical,20, Female, Some-college, Private, <=50K
35, Craft-repair,40, Male, HS-grad, Private, <=50K
51, Sales,60, Male, Some-college, Self-emp-not-inc, <=50K
19, Protective-serv,30, Female, Some-college, Private, <=50K
38, Protective-serv,56, Male, HS-grad, Local-gov, <=50K
52, Craft-repair,40, Male, HS-grad, Local-gov, <=50K
70, Prof-specialty,25, Male, Prof-school, Self-emp-not-inc, <=50K
53, Craft-repair,40, Male, 10th, Private, <=50K
59, Exec-managerial,40, Male, Doctorate, Private, >50K
39, Transport-moving,43, Male, Some-college, Private, <=50K
18, Sales,20, Female, 12th, Private, <=50K
41, ?,30, Female, HS-grad, ?, <=50K
19, ?,10, Male, Some-college, ?, <=50K
24, Adm-clerical,40, Female, Some-college, Private, <=50K
25, Adm-clerical,38, Female, HS-grad, Private, <=50K
32, Exec-managerial,40, Male, Some-college, Private, <=50K
34, Sales,60, Male, HS-grad, Self-emp-not-inc, >50K
35, Sales,40, Female, HS-grad, Private, <=50K
50, Adm-clerical,45, Male, HS-grad, Private, >50K
18, Sales,20, Male, HS-grad, Private, <=50K
37, Adm-clerical,42, Male, HS-grad, Private, <=50K
30, Other-service,36, Female, Some-college, Private, <=50K
40, Exec-managerial,30, Female, Masters, Self-emp-inc, >50K
22, Prof-specialty,40, Female, HS-grad, Private, <=50K
50, Other-service,28, Female, Some-college, Local-gov, <=50K
70, Other-service,23, Female, HS-grad, Private, <=50K
43, Prof-specialty,40, Male, Masters, Private, >50K
77, Craft-repair,40, Male, Some-college, Self-emp-not-inc, <=50K
30, Craft-repair,40, Male, HS-grad, Self-emp-not-inc, <=50K
33, Machine-op-inspct,39, Male, Some-college, Private, <=50K
51, Sales,50, Male, Some-college, Private, >50K
58, Prof-specialty,50, Male, Masters, State-gov, >50K
22, Adm-clerical,12, Male, Some-college, Private, <=50K
33, Transport-moving,40, Male, HS-grad, Private, <=50K
27, Sales,40, Male, 11th, Private, <=50K
35, Exec-managerial,60, Male, Some-college, Private, <=50K
32, Sales,55, Female, Some-college, Private, <=50K
41, Tech-support,25, Female, Bachelors, Private, >50K
37, Craft-repair,40, Male, Some-college, Private, <=50K
17, Sales,15, Male, 11th, Private, <=50K
50, Exec-managerial,55, Male, Bachelors, Private, >50K
31, ?,40, Male, HS-grad, ?, <=50K
54, Exec-managerial,38, Female, HS-grad, State-gov, <=50K
23, Other-service,40, Male, HS-grad, State-gov, <=50K
40, Adm-clerical,20, Female, Bachelors, Private, <=50K
29, Prof-specialty,40, Male, Bachelors, Private, <=50K
38, Other-service,35, Male, HS-grad, Private, <=50K
30, Exec-managerial,55, Male, Assoc-voc, Private, <=50K
20, Sales,8, Male, Some-college, Private, <=50K
43, Farming-fishing,50, Male, Some-college, Self-emp-not-inc, <=50K
25, Tech-support,25, Male, Some-college, Private, <=50K
39, Sales,50, Male, Masters, Private, >50K
48, Prof-specialty,50, Male, Assoc-acdm, Private, >50K
41, Other-service,40, Female, HS-grad, Self-emp-not-inc, <=50K
24, Adm-clerical,30, Male, Bachelors, Private, <=50K
20, Adm-clerical,40, Male, Some-college, Private, <=50K
25, Adm-clerical,40, Female, Some-college, Private, <=50K
57, Craft-repair,40, Male, Some-college, Private, >50K
39, Exec-managerial,35, Female, Some-college, Private, >50K
66, Prof-specialty,40, Male, Bachelors, Private, >50K
34, Adm-clerical,40, Female, Some-college, Private, <=50K
36, Prof-specialty,40, Male, Bachelors, Private, >50K
46, Sales,40, Female, HS-grad, Private, <=50K
42, Prof-specialty,45, Female, Masters, Local-gov, <=50K
46, Transport-moving,70, Male, HS-grad, Private, >50K
34, Protective-serv,40, Male, HS-grad, Local-gov, <=50K
43, Tech-support,40, Female, Some-college, Private, <=50K
42, Exec-managerial,40, Female, Some-college, Private, <=50K
31, Sales,48, Male, Bachelors, Private, <=50K
70, ?,30, Male, Some-college, ?, <=50K
32, Exec-managerial,40, Male, Some-college, Private, <=50K
46, Adm-clerical,40, Male, HS-grad, Federal-gov, >50K
42, Craft-repair,25, Male, 7th-8th, Self-emp-inc, <=50K
21, Exec-managerial,40, Male, Assoc-voc, Private, <=50K
24, Sales,40, Female, Bachelors, Private, <=50K
23, Sales,55, Male, HS-grad, Private, <=50K
50, Prof-specialty,40, Male, Masters, Local-gov, >50K
37, Adm-clerical,45, Female, Some-college, Private, <=50K
19, ?,30, Female, 11th, ?, <=50K
44, Craft-repair,40, Male, Assoc-acdm, Federal-gov, >50K
29, Transport-moving,40, Male, HS-grad, Private, <=50K
30, Adm-clerical,24, Female, Assoc-voc, Private, <=50K
36, Sales,44, Male, Some-college, Private, <=50K
49, Sales,45, Male, Bachelors, Self-emp-not-inc, <=50K
29, Craft-repair,40, Male, HS-grad, Private, <=50K
45, Adm-clerical,40, Female, HS-grad, Local-gov, <=50K
75, Prof-specialty,20, Male, Doctorate, State-gov, >50K
42, Priv-house-serv,40, Female, HS-grad, Private, <=50K
37, Exec-managerial,40, Female, Assoc-acdm, Private, <=50K
51, Machine-op-inspct,25, Male, Bachelors, Private, <=50K
61, Farming-fishing,48, Male, HS-grad, Local-gov, <=50K
33, Exec-managerial,55, Female, Assoc-acdm, Private, <=50K
50, Adm-clerical,40, Male, HS-grad, Local-gov, <=50K
59, Machine-op-inspct,40, Male, HS-grad, Private, <=50K
25, Adm-clerical,30, Female, HS-grad, Private, <=50K
22, Handlers-cleaners,16, Male, HS-grad, Private, <=50K
56, Transport-moving,40, Male, Some-college, Private, >50K
44, Adm-clerical,40, Female, Bachelors, Private, <=50K
35, Craft-repair,50, Male, Assoc-voc, Private, <=50K
57, Exec-managerial,40, Male, HS-grad, Private, <=50K
47, Farming-fishing,50, Male, HS-grad, Self-emp-not-inc, >50K
27, Exec-managerial,40, Female, Bachelors, Private, <=50K
50, Farming-fishing,20, Male, HS-grad, Self-emp-not-inc, <=50K
30, Prof-specialty,40, Male, Bachelors, Private, <=50K
46, Transport-moving,40, Male, 11th, Private, <=50K
48, Prof-specialty,60, Male, Prof-school, Self-emp-inc, >50K
61, Adm-clerical,40, Male, Bachelors, Private, >50K
33, Transport-moving,87, Male, HS-grad, Private, <=50K
40, Other-service,40, Male, HS-grad, Private, <=50K
58, Exec-managerial,65, Male, Some-college, Self-emp-inc, >50K
46, Exec-managerial,50, Male, Masters, Self-emp-inc, >50K
35, Prof-specialty,40, Male, Some-college, Private, >50K
51, Exec-managerial,50, Female, Some-college, Self-emp-inc, <=50K
37, Other-service,40, Female, 12th, Private, <=50K
64, Prof-specialty,60, Male, Masters, Private, <=50K
41, Craft-repair,54, Male, HS-grad, Private, <=50K
18, Handlers-cleaners,30, Male, 11th, Private, <=50K
44, Farming-fishing,88, Male, 11th, Self-emp-not-inc, <=50K
41, Prof-specialty,48, Female, Bachelors, State-gov, >50K
33, Prof-specialty,40, Male, Some-college, State-gov, >50K
37, Priv-house-serv,16, Female, 9th, Private, <=50K
34, Adm-clerical,40, Female, Some-college, Private, <=50K
24, Tech-support,40, Female, Bachelors, Federal-gov, <=50K
20, Handlers-cleaners,40, Male, Some-college, Private, <=50K
38, Exec-managerial,40, Male, Bachelors, Private, <=50K
28, Other-service,40, Female, Assoc-voc, Private, <=50K
20, Transport-moving,45, Male, HS-grad, Self-emp-not-inc, <=50K
22, Tech-support,8, Male, Bachelors, Federal-gov, <=50K
55, Adm-clerical,73, Female, Bachelors, Private, <=50K
20, Prof-specialty,35, Male, Some-college, Private, <=50K
26, Prof-specialty,40, Female, Bachelors, Private, <=50K
20, Farming-fishing,70, Male, HS-grad, Self-emp-inc, <=50K
40, Other-service,40, Female, 9th, Private, <=50K
33, Sales,50, Male, HS-grad, Private, >50K
54, ?,50, Male, Some-college, ?, <=50K
24, Sales,40, Female, HS-grad, Private, <=50K
25, Exec-managerial,46, Male, Some-college, Private, <=50K
18, Other-service,8, Male, 11th, Private, <=50K
49, Craft-repair,60, Male, HS-grad, Self-emp-not-inc, <=50K
17, Handlers-cleaners,17, Male, 12th, Private, <=50K
34, Craft-repair,45, Male, Assoc-voc, Self-emp-not-inc, <=50K
37, Prof-specialty,45, Male, Bachelors, Private, >50K
49, Exec-managerial,40, Male, Some-college, Federal-gov, >50K
74, Adm-clerical,40, Female, HS-grad, Private, >50K
37, Farming-fishing,40, Male, HS-grad, Private, <=50K
20, Handlers-cleaners,40, Male, 11th, Private, <=50K
40, Exec-managerial,35, Female, HS-grad, Private, >50K
34, Sales,40, Male, Bachelors, Private, >50K
30, Prof-specialty,40, Male, Prof-school, Private, <=50K
44, Adm-clerical,40, Female, HS-grad, Private, <=50K
40, Other-service,32, Female, 10th, Private, <=50K
58, Sales,40, Female, HS-grad, Private, <=50K
44, Craft-repair,40, Male, HS-grad, Private, <=50K
42, Sales,25, Male, Some-college, Private, >50K
39, Other-service,18, Male, HS-grad, Private, <=50K
19, Other-service,40, Male, HS-grad, Private, <=50K
41, Exec-managerial,70, Male, Masters, Private, >50K
29, Prof-specialty,40, Male, Masters, State-gov, <=50K
34, Craft-repair,40, Male, Some-college, Federal-gov, <=50K
38, ?,15, Male, Some-college, ?, <=50K
27, Farming-fishing,24, Male, Preschool, Private, <=50K
54, Craft-repair,48, Female, Some-college, Private, <=50K
40, Machine-op-inspct,37, Female, HS-grad, Private, <=50K
19, Sales,25, Female, Some-college, Private, <=50K
17, Other-service,10, Male, 11th, Private, <=50K
33, Sales,52, Male, Some-college, Private, <=50K
80, Other-service,24, Female, 7th-8th, Private, <=50K
24, Craft-repair,50, Male, HS-grad, Self-emp-not-inc, <=50K
28, Prof-specialty,40, Male, Bachelors, Private, <=50K
55, Exec-managerial,30, Female, HS-grad, Private, >50K
21, Exec-managerial,40, Male, Some-college, Private, <=50K
51, Adm-clerical,38, Female, HS-grad, Private, <=50K
19, Machine-op-inspct,40, Female, HS-grad, Private, <=50K
42, Other-service,24, Female, HS-grad, Private, <=50K
60, Exec-managerial,48, Male, HS-grad, Self-emp-not-inc, <=50K
20, ?,40, Female, Some-college, ?, <=50K
51, Adm-clerical,40, Female, HS-grad, Private, <=50K
21, Other-service,40, Female, Some-college, Private, <=50K
37, Craft-repair,40, Male, Some-college, State-gov, <=50K
26, Machine-op-inspct,52, Male, HS-grad, Private, <=50K
42, Exec-managerial,60, Female, Masters, Federal-gov, >50K
40, Handlers-cleaners,40, Male, Some-college, Private, <=50K
55, Prof-specialty,40, Male, Masters, Private, >50K
33, Other-service,32, Male, HS-grad, Private, <=50K
62, Transport-moving,60, Male, HS-grad, Private, >50K
47, Sales,30, Female, 10th, Private, <=50K
26, Sales,51, Male, 12th, Private, <=50K
59, Adm-clerical,20, Female, HS-grad, Private, <=50K
70, Adm-clerical,17, Female, Some-college, Local-gov, <=50K
26, Adm-clerical,20, Female, Some-college, Private, <=50K
47, Sales,65, Male, 10th, Private, <=50K
25, Exec-managerial,43, Female, Masters, Private, <=50K
52, Prof-specialty,60, Male, Prof-school, Self-emp-inc, >50K
46, Craft-repair,40, Male, HS-grad, Private, <=50K
67, Transport-moving,20, Male, 10th, Private, <=50K
34, Exec-managerial,50, Male, Masters, Private, >50K
53, Adm-clerical,40, Female, Some-college, State-gov, <=50K
22, Adm-clerical,35, Female, Bachelors, Private, <=50K
39, Adm-clerical,42, Male, HS-grad, Local-gov, <=50K
54, Craft-repair,35, Male, HS-grad, Self-emp-not-inc, <=50K
24, Sales,40, Male, Bachelors, Private, <=50K
37, Prof-specialty,38, Female, HS-grad, Private, <=50K
38, Prof-specialty,90, Male, 10th, Private, >50K
41, Prof-specialty,40, Female, Masters, Local-gov, <=50K
36, Transport-moving,33, Male, HS-grad, Private, <=50K
43, Exec-managerial,40, Male, Assoc-voc, Private, >50K
39, Prof-specialty,40, Male, Bachelors, Private, <=50K
26, Sales,45, Male, Bachelors, Private, <=50K
49, Prof-specialty,40, Female, Masters, Local-gov, <=50K
37, Prof-specialty,55, Male, Bachelors, Self-emp-not-inc, >50K
43, Exec-managerial,50, Male, Some-college, Private, >50K
54, Prof-specialty,40, Male, HS-grad, Federal-gov, >50K
53, Sales,40, Male, 5th-6th, Self-emp-inc, >50K
57, Prof-specialty,60, Male, Masters, Local-gov, <=50K
28, Prof-specialty,40, Male, Bachelors, Private, >50K
29, Other-service,40, Male, Bachelors, Private, <=50K
